NNDSS_-_TABLE_1W._Meningococcal_disease__All_serogroups_to_Meningococcal_disease__Serogroup_B
Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, All serogroups, Current week","Meningococcal disease, All serogroups, Current week, flag","Meningococcal disease, All serogroups, Previous 52 weeks Max†","Meningococcal disease, All serogroups, Previous 52 weeks Max†, flag","Meningococcal disease, All serogroups, Cum 2022†","Meningococcal disease, All serogroups, Cum 2022†, flag","Meningococcal disease, All serogroups, Cum 2021†","Meningococcal disease, All serogroups, Cum 2021†, flag","Meningococcal disease, Serogroups ACWY, Current week","Meningococcal disease, Serogroups ACWY, Current week, flag","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroups ACWY, Cum 2022†","Meningococcal disease, Serogroups ACWY, Cum 2022†, flag","Meningococcal disease, Serogroups ACWY, Cum 2021†","Meningococcal disease, Serogroups ACWY, Cum 2021†, flag","Meningococcal disease, Serogroup B, Current week","Meningococcal disease, Serogroup B, Current week, flag","Meningococcal disease, Serogroup B, Previous 52 weeks Max†","Meningococcal disease, Serogroup B, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroup B, Cum 2022†","Meningococcal disease, Serogroup B, Cum 2022†, flag","Meningococcal disease, Serogroup B, Cum 2021†","Meningococcal disease, Serogroup B, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
EAST NORTH CENTRAL,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,202200114,
MISSISSIPPI,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200141,POINT (-89.65344 32.713378)
GUAM,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200166,POINT (144.653198 13.3532)
NORTH DAKOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200126,POINT (-100.46931 47.446305)
MISSOURI,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200124,POINT (-92.477244 38.3675)
HAWAII,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200135,POINT (-80.864614 33.878572)
MICHIGAN,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200117,POINT (-85.730977 44.874798)
DELAWARE,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200129,POINT (-75.452394 38.994926)
PACIFIC,2022,1,,-,1,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200157,
AMERICAN SAMOA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200164,
WASHINGTON,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200169,
FLORIDA,2022,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200131,POINT (-82.420978 28.260731)
ILLINOIS,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
WEST NORTH CENTRAL,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200220,
MINNESOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
GEORGIA,2022,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200232,POINT (-83.426574 32.638481)
OHIO,2022,2,,-,1,,1,,,-,,-,1,,,-,,-,,-,1,,1,,,-,OHIO,,202200218,POINT (-82.70936 40.415534)
NEW ENGLAND,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,202200202,
NEW YORK,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW YORK,,202200211,POINT (-75.59655 42.921241)
TENNESSEE,2022,2,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200243,
VERMONT,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200208,POINT (-72.662695 44.075252)
AMERICAN SAMOA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200264,
NORTH CAROLINA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200234,POINT (-79.130883 35.52603)
MOUNTAIN,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,202200248,
KANSAS,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200269,
NEBRASKA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
EAST NORTH CENTRAL,2022,2,,-,2,,1,,,-,,-,1,,,-,,-,,-,2,,1,,,-,,EAST NORTH CENTRAL,202200214,
NEW MEXICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
SOUTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2022,2,5,,4,,5,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200228,
OKLAHOMA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
MISSISSIPPI,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200241,POINT (-89.65344 32.713378)
DISTRICT OF COLUMBIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200230,POINT (-77.016275 38.904785)
ARIZONA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200249,POINT (-111.664616 34.293239)
GUAM,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200266,POINT (144.653198 13.3532)
MASSACHUSETTS,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
DELAWARE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200229,POINT (-75.452394 38.994926)
LOUISIANA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
UTAH,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200255,POINT (-111.678222 39.323779)
NORTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
WISCONSIN,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200219,POINT (-89.732969 44.639954)
CALIFORNIA,2022,2,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200259,POINT (-119.662127 37.211164)
KENTUCKY,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
MAINE,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200204,POINT (-69.06137 45.117911)
PACIFIC,2022,2,,-,1,,1,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200257,
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
TOTAL,2022,2,5,,8,,10,,2,,,-,4,,,-,,-,,-,2,,1,,,-,,TOTAL,202200270,
MONTANA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200252,POINT (-109.645127 47.033521)
NEW YORK CITY,2022,2,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200212,
RHODE ISLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200207,POINT (-71.534637 41.572574)
MICHIGAN,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200217,POINT (-85.730977 44.874798)
PENNSYLVANIA,2022,2,,-,2,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
SOUTH CAROLINA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
IDAHO,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200251,POINT (-114.659366 44.389073)
MARYLAND,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
IOWA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200221,POINT (-93.500061 42.074659)
WYOMING,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
VIRGINIA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
FLORIDA,2022,2,5,,3,,5,,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200231,POINT (-82.420978 28.260731)
COLORADO,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,202200250,POINT (-105.547832 38.998552)
NEW HAMPSHIRE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200206,POINT (-71.57139 43.680429)
NEW JERSEY,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
WASHINGTON,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
CONNECTICUT,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
PUERTO RICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
ARKANSAS,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
US RESIDENTS,2022,2,5,,8,,10,,2,,,-,4,,,-,,-,,-,2,,1,,,-,,US RESIDENTS,202200201,
EAST SOUTH CENTRAL,2022,2,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200238,
INDIANA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,INDIANA,,202200216,POINT (-86.2818 39.919991)
ALABAMA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200239,POINT (-86.844516 32.756889)
OREGON,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OREGON,,202200261,POINT (-120.605279 43.940449)
TEXAS,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,202200247,POINT (-99.317341 31.447238)
US TERRITORIES,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200263,
HAWAII,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200260,POINT (-157.854309 21.361013)
WEST VIRGINIA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
ALASKA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200258,POINT (-151.631889 63.631126)
MISSOURI,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200224,POINT (-92.477244 38.3675)
NEVADA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200253,POINT (-114.916992 39.283294)
MIDDLE ATLANTIC,2022,2,,-,4,,2,,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200209,
ILLINOIS,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
WEST NORTH CENTRAL,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200220,
MINNESOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
GEORGIA,2022,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200232,POINT (-83.426574 32.638481)
OHIO,2022,2,,-,1,,1,,,-,,-,1,,,-,,-,,-,1,,1,,,-,OHIO,,202200218,POINT (-82.70936 40.415534)
NEW ENGLAND,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,202200202,
NEW YORK,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW YORK,,202200211,POINT (-75.59655 42.921241)
TENNESSEE,2022,2,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200243,
VERMONT,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200208,POINT (-72.662695 44.075252)
AMERICAN SAMOA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200264,
NORTH CAROLINA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200234,POINT (-79.130883 35.52603)
MOUNTAIN,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,202200248,
KANSAS,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200269,
NEBRASKA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
EAST NORTH CENTRAL,2022,2,,-,2,,1,,,-,,-,1,,,-,,-,,-,2,,1,,,-,,EAST NORTH CENTRAL,202200214,
NEW MEXICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
SOUTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2022,2,5,,4,,5,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200228,
OKLAHOMA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
MISSISSIPPI,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200241,POINT (-89.65344 32.713378)
DISTRICT OF COLUMBIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200230,POINT (-77.016275 38.904785)
ARIZONA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200249,POINT (-111.664616 34.293239)
GUAM,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200266,POINT (144.653198 13.3532)
MASSACHUSETTS,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
DELAWARE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200229,POINT (-75.452394 38.994926)
LOUISIANA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
UTAH,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200255,POINT (-111.678222 39.323779)
NORTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
WISCONSIN,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200219,POINT (-89.732969 44.639954)
CALIFORNIA,2022,2,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200259,POINT (-119.662127 37.211164)
KENTUCKY,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
MAINE,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200204,POINT (-69.06137 45.117911)
PACIFIC,2022,2,,-,1,,1,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200257,
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
TOTAL,2022,2,5,,8,,10,,2,,,-,4,,,-,,-,,-,2,,1,,,-,,TOTAL,202200270,
MONTANA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200252,POINT (-109.645127 47.033521)
NEW YORK CITY,2022,2,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200212,
RHODE ISLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200207,POINT (-71.534637 41.572574)
MICHIGAN,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200217,POINT (-85.730977 44.874798)
PENNSYLVANIA,2022,2,,-,2,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
